features,ChurnIndex
"[9.0,93.1,912.85,0.0,1.0,1.0,0.0,1.0,0.0,0.0]",1.0
"[2.0,77.9,156.98,0.0,1.0,0.0,1.0,1.0,0.0,0.0]",1.0
"(10,[1,3,5,8],[83.84,1.0,1.0,1.0])",0.0
"[12.0,66.76,880.02,1.0,0.0,1.0,0.0,0.0,1.0,0.0]",0.0
"[58.0,88.74,4676.76,1.0,0.0,0.0,1.0,1.0,0.0,0.0]",0.0
"[11.0,60.34,636.37,1.0,0.0,1.0,0.0,0.0,1.0,0.0]",0.0
"[10.0,95.75,1024.77,0.0,1.0,1.0,0.0,0.0,1.0,0.0]",1.0
"[40.0,62.21,2731.74,1.0,0.0,1.0,0.0,1.0,0.0,0.0]",0.0
"[6.0,101.2,624.42,0.0,1.0,1.0,0.0,1.0,0.0,0.0]",0.0
"[19.0,91.12,1635.8,1.0,0.0,0.0,1.0,0.0,1.0,0.0]",0.0
"[11.0,73.05,904.61,0.0,1.0,0.0,1.0,0.0,1.0,0.0]",0.0
"[35.0,49.17,1755.19,0.0,1.0,0.0,1.0,0.0,1.0,0.0]",0.0
"[9.0,104.27,949.36,0.0,1.0,1.0,0.0,1.0,0.0,0.0]",1.0
"[1.0,107.81,111.92,1.0,0.0,0.0,1.0,0.0,1.0,0.0]",1.0
"[6.0,98.79,616.69,0.0,1.0,1.0,0.0,0.0,1.0,0.0]",0.0
"[69.0,56.62,3906.59,0.0,1.0,0.0,1.0,0.0,0.0,1.0]",0.0
"[9.0,100.11,919.8,0.0,1.0,1.0,0.0,0.0,0.0,1.0]",0.0
"[61.0,30.41,1400.91,0.0,1.0,1.0,0.0,1.0,0.0,0.0]",1.0
"[70.0,29.35,2393.43,0.0,1.0,1.0,0.0,1.0,0.0,0.0]",1.0
"[41.0,94.73,3836.24,0.0,1.0,1.0,0.0,0.0,1.0,0.0]",0.0
"[12.0,88.73,1117.1,0.0,1.0,1.0,0.0,1.0,0.0,0.0]",0.0
"[47.0,50.66,2494.27,0.0,1.0,0.0,1.0,1.0,0.0,0.0]",0.0
"[14.0,76.82,1032.86,0.0,1.0,0.0,1.0,1.0,0.0,0.0]",1.0
"[17.0,69.31,1083.73,0.0,1.0,0.0,1.0,0.0,1.0,0.0]",0.0
"[3.0,65.31,173.01,0.0,1.0,0.0,1.0,1.0,0.0,0.0]",1.0
"[26.0,27.56,738.73,0.0,1.0,0.0,1.0,0.0,1.0,0.0]",0.0
"(10,[0,1,4,5,8],[35.0,98.87,1.0,1.0,1.0])",0.0
"[41.0,43.69,1885.44,0.0,1.0,1.0,0.0,0.0,0.0,1.0]",1.0
"[44.0,96.78,4213.55,1.0,0.0,1.0,0.0,0.0,1.0,0.0]",0.0
"[40.0,26.63,1426.94,1.0,0.0,1.0,0.0,1.0,0.0,0.0]",1.0
"[55.0,83.64,5083.95,1.0,0.0,0.0,1.0,1.0,0.0,0.0]",1.0
"[12.0,85.68,1112.1,1.0,0.0,1.0,0.0,0.0,1.0,0.0]",0.0
"[46.0,60.38,3062.43,0.0,1.0,0.0,1.0,1.0,0.0,0.0]",0.0
"(10,[0,1,4,5,9],[67.0,77.45,1.0,1.0,1.0])",0.0
"[12.0,76.38,876.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0]",0.0
"[44.0,85.75,3878.41,1.0,0.0,0.0,1.0,0.0,1.0,0.0]",0.0
"[21.0,79.3,1544.42,0.0,1.0,1.0,0.0,0.0,1.0,0.0]",0.0
"[36.0,25.31,724.5,0.0,1.0,1.0,0.0,0.0,1.0,0.0]",0.0
"[7.0,100.78,680.84,0.0,1.0,1.0,0.0,1.0,0.0,0.0]",1.0
"[26.0,56.45,1549.6,0.0,1.0,0.0,1.0,1.0,0.0,0.0]",0.0
"[29.0,58.75,1528.66,1.0,0.0,1.0,0.0,0.0,0.0,1.0]",0.0
"[31.0,73.27,2551.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0]",0.0
"[25.0,71.46,1667.9,1.0,0.0,1.0,0.0,0.0,1.0,0.0]",0.0
"[52.0,22.26,1539.28,1.0,0.0,0.0,1.0,0.0,1.0,0.0]",0.0
"[72.0,60.35,4658.57,0.0,1.0,0.0,1.0,0.0,0.0,1.0]",0.0
"[35.0,37.99,1060.83,1.0,0.0,0.0,1.0,0.0,1.0,0.0]",0.0
"[47.0,80.08,4224.01,0.0,1.0,0.0,1.0,1.0,0.0,0.0]",1.0
"[29.0,66.44,1719.74,0.0,1.0,0.0,1.0,0.0,1.0,0.0]",0.0
"(10,[1,4,5,8],[76.13,1.0,1.0,1.0])",1.0
"[39.0,29.91,1154.96,0.0,1.0,0.0,1.0,1.0,0.0,0.0]",0.0
"[53.0,54.64,3011.96,0.0,1.0,1.0,0.0,0.0,1.0,0.0]",0.0
"[2.0,90.78,165.39,0.0,1.0,1.0,0.0,0.0,1.0,0.0]",0.0
"[38.0,66.5,2735.43,1.0,0.0,1.0,0.0,1.0,0.0,0.0]",0.0
"[51.0,52.15,2688.55,0.0,1.0,1.0,0.0,1.0,0.0,0.0]",0.0
"[68.0,83.07,5150.97,0.0,1.0,0.0,1.0,1.0,0.0,0.0]",0.0
"[63.0,90.0,5236.39,1.0,0.0,0.0,1.0,0.0,0.0,1.0]",0.0
"(10,[0,1,3,6,7],[44.0,46.91,1.0,1.0,1.0])",0.0
"[51.0,92.27,4592.14,1.0,0.0,1.0,0.0,0.0,1.0,0.0]",0.0
"[2.0,74.97,146.53,0.0,1.0,0.0,1.0,1.0,0.0,0.0]",0.0
"[15.0,43.87,543.02,1.0,0.0,0.0,1.0,0.0,1.0,0.0]",1.0
"[5.0,107.43,579.35,1.0,0.0,1.0,0.0,0.0,1.0,0.0]",1.0
"[9.0,92.52,851.66,1.0,0.0,1.0,0.0,1.0,0.0,0.0]",1.0
"[16.0,64.24,1023.26,1.0,0.0,1.0,0.0,1.0,0.0,0.0]",0.0
"[33.0,39.79,1030.12,0.0,1.0,1.0,0.0,1.0,0.0,0.0]",1.0
"[11.0,97.75,1035.5,1.0,0.0,0.0,1.0,1.0,0.0,0.0]",1.0
"[33.0,56.09,1864.38,1.0,0.0,0.0,1.0,0.0,1.0,0.0]",0.0
"[4.0,70.9,307.55,1.0,0.0,0.0,1.0,0.0,1.0,0.0]",1.0
"[5.0,82.88,457.83,1.0,0.0,0.0,1.0,1.0,0.0,0.0]",1.0
"[65.0,27.33,1625.76,1.0,0.0,1.0,0.0,1.0,0.0,0.0]",1.0
"[3.0,94.6,300.67,0.0,1.0,0.0,1.0,1.0,0.0,0.0]",0.0
"[9.0,79.05,758.91,1.0,0.0,0.0,1.0,0.0,1.0,0.0]",0.0
"[69.0,50.63,3459.37,0.0,1.0,1.0,0.0,0.0,0.0,1.0]",0.0
"[1.0,99.52,98.27,1.0,0.0,0.0,1.0,1.0,0.0,0.0]",1.0
"[19.0,89.3,1774.82,0.0,1.0,0.0,1.0,0.0,1.0,0.0]",0.0
"[70.0,63.69,4036.64,1.0,0.0,0.0,1.0,1.0,0.0,0.0]",1.0
"[12.0,52.31,589.96,0.0,1.0,1.0,0.0,1.0,0.0,0.0]",1.0
"[18.0,67.34,1119.29,0.0,1.0,1.0,0.0,0.0,0.0,1.0]",0.0
"[61.0,96.73,6176.09,1.0,0.0,0.0,1.0,0.0,0.0,1.0]",0.0
"[25.0,80.67,1771.35,1.0,0.0,1.0,0.0,1.0,0.0,0.0]",0.0
"[52.0,85.56,4844.45,0.0,1.0,1.0,0.0,0.0,1.0,0.0]",0.0
"[68.0,60.33,3502.67,1.0,0.0,0.0,1.0,1.0,0.0,0.0]",0.0
"[53.0,83.79,4438.71,1.0,0.0,1.0,0.0,0.0,1.0,0.0]",0.0
"[22.0,62.8,1313.95,0.0,1.0,1.0,0.0,0.0,0.0,1.0]",0.0
"[15.0,45.48,689.72,1.0,0.0,0.0,1.0,0.0,0.0,1.0]",0.0
"[14.0,66.82,1040.85,1.0,0.0,1.0,0.0,1.0,0.0,0.0]",0.0
"[1.0,95.27,96.18,1.0,0.0,1.0,0.0,1.0,0.0,0.0]",0.0
"[23.0,41.31,771.26,1.0,0.0,0.0,1.0,0.0,0.0,1.0]",0.0
"[51.0,71.58,3171.04,1.0,0.0,1.0,0.0,0.0,1.0,0.0]",0.0
"[47.0,21.21,811.67,1.0,0.0,1.0,0.0,0.0,1.0,0.0]",1.0
"[12.0,75.24,1021.68,1.0,0.0,0.0,1.0,1.0,0.0,0.0]",1.0
"[3.0,95.44,276.66,1.0,0.0,0.0,1.0,1.0,0.0,0.0]",0.0
"[45.0,44.18,1658.26,0.0,1.0,1.0,0.0,1.0,0.0,0.0]",1.0
"(10,[0,1,4,6,8],[46.0,38.49,1.0,1.0,1.0])",0.0
"(10,[1,3,5,8],[68.05,1.0,1.0,1.0])",0.0
"[3.0,87.5,245.14,1.0,0.0,1.0,0.0,1.0,0.0,0.0]",1.0
"[54.0,92.18,4531.35,1.0,0.0,0.0,1.0,1.0,0.0,0.0]",1.0
"[12.0,72.66,976.93,0.0,1.0,0.0,1.0,1.0,0.0,0.0]",1.0
"[58.0,48.77,3275.46,0.0,1.0,1.0,0.0,1.0,0.0,0.0]",0.0
"[52.0,69.8,3749.78,1.0,0.0,1.0,0.0,0.0,1.0,0.0]",0.0
"[11.0,100.87,1212.78,1.0,0.0,1.0,0.0,0.0,1.0,0.0]",0.0
"[9.0,108.32,987.34,1.0,0.0,1.0,0.0,1.0,0.0,0.0]",1.0
"[11.0,93.27,1133.47,0.0,1.0,1.0,0.0,0.0,0.0,1.0]",1.0
"[11.0,62.26,772.03,0.0,1.0,0.0,1.0,1.0,0.0,0.0]",0.0
"[47.0,86.29,4424.68,0.0,1.0,0.0,1.0,0.0,1.0,0.0]",0.0
"(10,[0,1,4,6,8],[18.0,65.34,1.0,1.0,1.0])",0.0
"[3.0,65.31,213.56,1.0,0.0,1.0,0.0,0.0,1.0,0.0]",0.0
"(10,[1,4,5,8],[83.05,1.0,1.0,1.0])",0.0
"[50.0,35.87,1736.46,1.0,0.0,1.0,0.0,1.0,0.0,0.0]",1.0
"[12.0,49.86,524.99,1.0,0.0,1.0,0.0,0.0,0.0,1.0]",0.0
"[8.0,102.3,774.89,1.0,0.0,0.0,1.0,0.0,1.0,0.0]",1.0
"[13.0,72.99,826.07,0.0,1.0,1.0,0.0,1.0,0.0,0.0]",0.0
"[10.0,104.91,993.5,0.0,1.0,0.0,1.0,0.0,0.0,1.0]",1.0
"[49.0,78.36,3513.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0]",0.0
"[37.0,79.02,3054.39,0.0,1.0,1.0,0.0,0.0,1.0,0.0]",0.0
"[71.0,79.16,6198.54,0.0,1.0,0.0,1.0,1.0,0.0,0.0]",0.0
"[12.0,52.75,612.72,1.0,0.0,0.0,1.0,0.0,1.0,0.0]",0.0
"[30.0,60.06,2099.59,0.0,1.0,1.0,0.0,0.0,1.0,0.0]",0.0
"[10.0,95.95,947.8,1.0,0.0,1.0,0.0,1.0,0.0,0.0]",1.0
"[1.0,77.65,87.24,1.0,0.0,0.0,1.0,1.0,0.0,0.0]",1.0
"[24.0,69.38,1795.81,1.0,0.0,1.0,0.0,0.0,1.0,0.0]",0.0
"[8.0,86.1,732.01,1.0,0.0,0.0,1.0,0.0,0.0,1.0]",1.0
"[4.0,96.91,371.03,0.0,1.0,1.0,0.0,1.0,0.0,0.0]",1.0
"[8.0,94.72,719.96,1.0,0.0,1.0,0.0,0.0,0.0,1.0]",1.0
"[56.0,38.64,2156.51,0.0,1.0,0.0,1.0,0.0,1.0,0.0]",0.0
"[9.0,96.35,888.65,0.0,1.0,0.0,1.0,1.0,0.0,0.0]",0.0
"(10,[0,1,3,6,7],[68.0,85.45,1.0,1.0,1.0])",0.0
"[12.0,80.0,912.17,1.0,0.0,1.0,0.0,0.0,1.0,0.0]",0.0
"[9.0,61.71,492.55,1.0,0.0,1.0,0.0,0.0,1.0,0.0]",0.0
"[41.0,47.77,1730.03,1.0,0.0,0.0,1.0,0.0,1.0,0.0]",0.0
"[12.0,85.95,915.76,1.0,0.0,1.0,0.0,0.0,0.0,1.0]",0.0
"(10,[1,3,5,7],[80.87,1.0,1.0,1.0])",1.0
"[56.0,29.18,2122.61,1.0,0.0,0.0,1.0,1.0,0.0,0.0]",0.0
"[11.0,76.03,862.1,1.0,0.0,1.0,0.0,0.0,1.0,0.0]",1.0
"[1.0,85.61,79.19,1.0,0.0,0.0,1.0,0.0,1.0,0.0]",1.0
"[51.0,82.24,3734.64,0.0,1.0,1.0,0.0,0.0,1.0,0.0]",1.0
"[31.0,28.71,618.52,1.0,0.0,1.0,0.0,0.0,0.0,1.0]",0.0
"[71.0,61.51,4286.97,0.0,1.0,1.0,0.0,0.0,1.0,0.0]",0.0
"[9.0,81.65,726.21,0.0,1.0,0.0,1.0,0.0,0.0,1.0]",1.0
"[55.0,51.15,3253.9,0.0,1.0,0.0,1.0,1.0,0.0,0.0]",1.0
"(10,[1,4,6,9],[104.64,1.0,1.0,1.0])",1.0
"[51.0,93.47,5209.86,0.0,1.0,1.0,0.0,1.0,0.0,0.0]",0.0
"[55.0,40.38,2325.7,1.0,0.0,0.0,1.0,1.0,0.0,0.0]",0.0
"[37.0,29.4,829.77,0.0,1.0,1.0,0.0,1.0,0.0,0.0]",0.0
"[46.0,50.33,2735.31,0.0,1.0,1.0,0.0,0.0,1.0,0.0]",0.0
"[57.0,96.24,5896.84,0.0,1.0,1.0,0.0,0.0,1.0,0.0]",0.0
"[14.0,96.65,1237.61,0.0,1.0,0.0,1.0,1.0,0.0,0.0]",1.0
"[8.0,75.2,648.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0]",1.0
"[44.0,40.71,1871.18,0.0,1.0,1.0,0.0,1.0,0.0,0.0]",0.0
"[6.0,94.19,514.53,1.0,0.0,0.0,1.0,0.0,1.0,0.0]",1.0
"[42.0,27.68,1261.75,1.0,0.0,1.0,0.0,0.0,1.0,0.0]",0.0
"[10.0,62.47,685.64,1.0,0.0,1.0,0.0,0.0,0.0,1.0]",0.0
"[28.0,70.19,1866.82,1.0,0.0,1.0,0.0,0.0,1.0,0.0]",0.0
"[48.0,27.61,1755.86,0.0,1.0,1.0,0.0,0.0,0.0,1.0]",0.0
"[1.0,80.17,88.81,0.0,1.0,1.0,0.0,1.0,0.0,0.0]",1.0
"[6.0,99.04,546.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0]",0.0
"[40.0,32.39,1471.6,1.0,0.0,0.0,1.0,0.0,1.0,0.0]",0.0
"[46.0,51.72,2285.39,0.0,1.0,1.0,0.0,1.0,0.0,0.0]",0.0
"[26.0,22.48,368.84,0.0,1.0,1.0,0.0,0.0,0.0,1.0]",0.0
"[45.0,56.76,2165.28,0.0,1.0,0.0,1.0,0.0,0.0,1.0]",0.0
"[13.0,46.02,717.89,1.0,0.0,0.0,1.0,1.0,0.0,0.0]",0.0
"[31.0,80.06,2565.91,0.0,1.0,1.0,0.0,0.0,1.0,0.0]",0.0
"[10.0,89.78,867.15,1.0,0.0,0.0,1.0,1.0,0.0,0.0]",1.0
"[10.0,91.72,827.1,1.0,0.0,1.0,0.0,0.0,0.0,1.0]",1.0
"[6.0,88.05,526.42,0.0,1.0,0.0,1.0,0.0,0.0,1.0]",1.0
"[23.0,99.77,2301.14,0.0,1.0,1.0,0.0,1.0,0.0,0.0]",0.0
"[70.0,86.96,6773.06,0.0,1.0,1.0,0.0,0.0,1.0,0.0]",1.0
"[53.0,92.66,4857.52,1.0,0.0,1.0,0.0,1.0,0.0,0.0]",1.0
"(10,[1,3,6,8],[63.07,1.0,1.0,1.0])",0.0
"[9.0,71.97,687.64,1.0,0.0,1.0,0.0,0.0,0.0,1.0]",1.0
"(10,[1,3,5,8],[74.44,1.0,1.0,1.0])",1.0
"[25.0,20.53,646.3,1.0,0.0,0.0,1.0,0.0,0.0,1.0]",0.0
"[47.0,34.34,1261.3,1.0,0.0,1.0,0.0,1.0,0.0,0.0]",1.0
"(10,[1,4,6,7],[74.61,1.0,1.0,1.0])",0.0
"[11.0,61.59,750.93,1.0,0.0,1.0,0.0,0.0,1.0,0.0]",0.0
"[50.0,45.63,2189.29,1.0,0.0,0.0,1.0,1.0,0.0,0.0]",1.0
"[55.0,63.16,3973.68,0.0,1.0,0.0,1.0,0.0,0.0,1.0]",0.0
"[25.0,30.17,524.06,0.0,1.0,0.0,1.0,0.0,0.0,1.0]",0.0
"[10.0,82.63,816.12,0.0,1.0,1.0,0.0,0.0,1.0,0.0]",1.0
"[13.0,61.63,745.08,1.0,0.0,0.0,1.0,0.0,1.0,0.0]",0.0
"[59.0,21.48,1376.37,0.0,1.0,1.0,0.0,0.0,1.0,0.0]",0.0
"[7.0,107.0,757.04,1.0,0.0,1.0,0.0,0.0,1.0,0.0]",0.0
"(10,[1,3,6,8],[90.84,1.0,1.0,1.0])",1.0
"[13.0,51.7,673.88,1.0,0.0,1.0,0.0,0.0,1.0,0.0]",0.0
"[1.0,108.24,110.74,1.0,0.0,0.0,1.0,1.0,0.0,0.0]",0.0
"[3.0,101.44,283.05,1.0,0.0,0.0,1.0,1.0,0.0,0.0]",1.0
"(10,[0,1,3,5,7],[9.0,62.52,1.0,1.0,1.0])",1.0
"[62.0,32.67,2147.39,0.0,1.0,0.0,1.0,1.0,0.0,0.0]",1.0
"[1.0,62.16,67.5,1.0,0.0,1.0,0.0,1.0,0.0,0.0]",0.0
"[12.0,63.44,664.22,0.0,1.0,0.0,1.0,1.0,0.0,0.0]",0.0
"(10,[1,4,6,7],[83.83,1.0,1.0,1.0])",1.0
"[53.0,45.82,1988.59,1.0,0.0,0.0,1.0,0.0,0.0,1.0]",0.0
"[9.0,103.94,957.61,0.0,1.0,1.0,0.0,1.0,0.0,0.0]",1.0
"[9.0,81.91,652.44,1.0,0.0,1.0,0.0,0.0,1.0,0.0]",1.0
"[40.0,89.16,3735.23,1.0,0.0,1.0,0.0,0.0,0.0,1.0]",0.0
"[45.0,52.0,2772.76,1.0,0.0,1.0,0.0,1.0,0.0,0.0]",1.0
"[59.0,47.37,2354.19,1.0,0.0,1.0,0.0,0.0,1.0,0.0]",0.0
"(10,[1,4,5,8],[80.13,1.0,1.0,1.0])",0.0
"[56.0,50.82,2515.71,0.0,1.0,0.0,1.0,0.0,1.0,0.0]",0.0
"[8.0,98.69,715.1,0.0,1.0,1.0,0.0,0.0,1.0,0.0]",0.0
"[65.0,46.46,2658.43,1.0,0.0,0.0,1.0,0.0,0.0,1.0]",0.0
"[58.0,74.16,3929.56,1.0,0.0,1.0,0.0,0.0,1.0,0.0]",0.0
"[27.0,72.12,1800.12,1.0,0.0,1.0,0.0,1.0,0.0,0.0]",0.0
"[49.0,84.35,4125.6,1.0,0.0,0.0,1.0,0.0,1.0,0.0]",0.0
"[6.0,75.97,507.63,0.0,1.0,1.0,0.0,0.0,1.0,0.0]",1.0
"[7.0,64.17,473.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0]",0.0
"[63.0,29.32,1446.29,1.0,0.0,0.0,1.0,1.0,0.0,0.0]",0.0
"[71.0,62.61,4060.96,0.0,1.0,1.0,0.0,0.0,0.0,1.0]",0.0
"[1.0,85.12,92.24,1.0,0.0,1.0,0.0,0.0,1.0,0.0]",1.0
"[23.0,89.36,2079.82,0.0,1.0,0.0,1.0,1.0,0.0,0.0]",0.0
"(10,[0,1,3,5,9],[14.0,51.26,1.0,1.0,1.0])",0.0
"[11.0,80.65,987.1,0.0,1.0,0.0,1.0,0.0,1.0,0.0]",1.0
"[23.0,30.21,533.13,0.0,1.0,1.0,0.0,0.0,1.0,0.0]",0.0
"[36.0,39.39,1761.46,1.0,0.0,0.0,1.0,1.0,0.0,0.0]",0.0
"(10,[0,1,3,5,8],[8.0,76.53,1.0,1.0,1.0])",0.0
"[6.0,108.1,600.17,0.0,1.0,0.0,1.0,1.0,0.0,0.0]",1.0
"[52.0,90.41,4334.9,0.0,1.0,1.0,0.0,0.0,1.0,0.0]",0.0
"[56.0,38.43,2493.8,0.0,1.0,1.0,0.0,0.0,1.0,0.0]",0.0
"[72.0,50.81,3965.64,1.0,0.0,0.0,1.0,1.0,0.0,0.0]",0.0
"(10,[0,1,3,6,8],[46.0,69.06,1.0,1.0,1.0])",0.0
"[9.0,94.5,934.98,0.0,1.0,0.0,1.0,0.0,1.0,0.0]",1.0
"[9.0,108.39,938.5,0.0,1.0,1.0,0.0,1.0,0.0,0.0]",0.0
"[42.0,90.02,4196.15,1.0,0.0,1.0,0.0,0.0,0.0,1.0]",0.0
"[20.0,61.97,1206.89,1.0,0.0,0.0,1.0,0.0,1.0,0.0]",0.0
"[39.0,52.68,2222.33,1.0,0.0,1.0,0.0,0.0,1.0,0.0]",0.0
"[30.0,80.13,2606.51,1.0,0.0,0.0,1.0,0.0,1.0,0.0]",0.0
"[5.0,100.97,538.41,0.0,1.0,1.0,0.0,1.0,0.0,0.0]",1.0
"[28.0,41.23,1190.18,1.0,0.0,0.0,1.0,1.0,0.0,0.0]",0.0
"[12.0,97.9,1157.07,0.0,1.0,1.0,0.0,1.0,0.0,0.0]",0.0
"[68.0,46.21,2885.5,0.0,1.0,0.0,1.0,0.0,0.0,1.0]",0.0
"[59.0,69.62,3970.46,1.0,0.0,0.0,1.0,0.0,0.0,1.0]",0.0
"[70.0,57.67,4449.77,1.0,0.0,0.0,1.0,0.0,1.0,0.0]",0.0
"[28.0,29.6,740.05,1.0,0.0,1.0,0.0,0.0,1.0,0.0]",0.0
"[71.0,22.63,1598.49,0.0,1.0,0.0,1.0,1.0,0.0,0.0]",1.0
"[63.0,57.8,3527.18,0.0,1.0,1.0,0.0,1.0,0.0,0.0]",0.0
"[2.0,102.18,187.57,0.0,1.0,0.0,1.0,0.0,1.0,0.0]",0.0
"[5.0,96.71,518.09,1.0,0.0,1.0,0.0,1.0,0.0,0.0]",1.0
"[2.0,87.91,184.99,0.0,1.0,1.0,0.0,1.0,0.0,0.0]",0.0
"[28.0,38.64,1277.02,1.0,0.0,1.0,0.0,1.0,0.0,0.0]",0.0
"[70.0,79.9,6004.16,0.0,1.0,0.0,1.0,1.0,0.0,0.0]",0.0
"(10,[0,1,4,6,8],[65.0,79.44,1.0,1.0,1.0])",0.0
"[29.0,35.22,992.11,0.0,1.0,0.0,1.0,1.0,0.0,0.0]",0.0
"[11.0,108.11,1111.59,0.0,1.0,1.0,0.0,0.0,0.0,1.0]",1.0
"[9.0,72.89,626.28,1.0,0.0,1.0,0.0,0.0,1.0,0.0]",0.0
"[20.0,24.4,605.72,0.0,1.0,1.0,0.0,0.0,1.0,0.0]",0.0
"[20.0,54.94,1201.15,0.0,1.0,0.0,1.0,0.0,1.0,0.0]",0.0
"[4.0,89.52,332.08,1.0,0.0,0.0,1.0,1.0,0.0,0.0]",1.0
"[44.0,90.57,4199.57,1.0,0.0,1.0,0.0,0.0,1.0,0.0]",0.0
"[5.0,88.9,468.75,0.0,1.0,0.0,1.0,0.0,0.0,1.0]",1.0
"[72.0,30.7,1655.6,0.0,1.0,0.0,1.0,0.0,1.0,0.0]",1.0
"[6.0,73.79,389.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0]",0.0
"[67.0,92.15,6625.36,1.0,0.0,0.0,1.0,0.0,0.0,1.0]",0.0
"(10,[1,4,6,9],[75.89,1.0,1.0,1.0])",0.0
"[6.0,84.21,538.48,1.0,0.0,1.0,0.0,0.0,0.0,1.0]",1.0
"[3.0,107.95,294.17,0.0,1.0,0.0,1.0,0.0,0.0,1.0]",0.0
"(10,[1,4,5,8],[93.51,1.0,1.0,1.0])",0.0
"[27.0,79.62,2176.31,1.0,0.0,0.0,1.0,0.0,0.0,1.0]",1.0
"(10,[0,1,4,5,7],[8.0,64.86,1.0,1.0,1.0])",0.0
"[62.0,30.77,2222.52,1.0,0.0,1.0,0.0,1.0,0.0,0.0]",1.0
"[33.0,20.61,538.25,1.0,0.0,0.0,1.0,0.0,0.0,1.0]",0.0
"[14.0,65.27,1009.09,0.0,1.0,1.0,0.0,1.0,0.0,0.0]",1.0
"[26.0,20.91,731.45,0.0,1.0,1.0,0.0,0.0,0.0,1.0]",0.0
"[12.0,66.13,673.93,0.0,1.0,0.0,1.0,1.0,0.0,0.0]",0.0
"[7.0,68.76,506.97,1.0,0.0,0.0,1.0,0.0,1.0,0.0]",0.0
"[70.0,29.05,2049.31,0.0,1.0,1.0,0.0,0.0,1.0,0.0]",0.0
"[8.0,103.29,821.37,0.0,1.0,0.0,1.0,0.0,1.0,0.0]",1.0
"[20.0,70.03,1325.55,1.0,0.0,0.0,1.0,1.0,0.0,0.0]",1.0
"[6.0,61.67,393.22,1.0,0.0,0.0,1.0,0.0,0.0,1.0]",0.0
"[9.0,80.37,722.26,0.0,1.0,0.0,1.0,0.0,1.0,0.0]",1.0
"(10,[0,1,4,5,8],[4.0,83.57,1.0,1.0,1.0])",1.0
"[5.0,94.77,519.52,0.0,1.0,0.0,1.0,1.0,0.0,0.0]",0.0
"[28.0,73.02,1950.43,0.0,1.0,0.0,1.0,0.0,0.0,1.0]",0.0
